,SONG,ARTIST,AUDIO FEATURE
0,['Twenty One Pilots'],Level of Concern,"[{'danceability': 0.754, 'energy': 0.583, 'key': 4, 'loudness': -7.34, 'mode': 0, 'speechiness': 0.0432, 'acousticness': 0.32, 'instrumentalness': 0.00015, 'liveness': 0.144, 'valence': 0.77, 'tempo': 122.012, 'type': 'audio_features', 'id': '6xZ4Q2k2ompmDppyeESIY8', 'uri': 'spotify:track:6xZ4Q2k2ompmDppyeESIY8', 'track_href': 'https://api.spotify.com/v1/tracks/6xZ4Q2k2ompmDppyeESIY8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xZ4Q2k2ompmDppyeESIY8', 'duration_ms': 220051, 'time_signature': 4}]"
1,['Twenty One Pilots'],Level of Concern - live from outside,"[{'danceability': 0.734, 'energy': 0.614, 'key': 4, 'loudness': -5.452, 'mode': 0, 'speechiness': 0.0477, 'acousticness': 0.291, 'instrumentalness': 0.000306, 'liveness': 0.12, 'valence': 0.636, 'tempo': 121.934, 'type': 'audio_features', 'id': '4zZyTwwwZFJhRe0oBElIia', 'uri': 'spotify:track:4zZyTwwwZFJhRe0oBElIia', 'track_href': 'https://api.spotify.com/v1/tracks/4zZyTwwwZFJhRe0oBElIia', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4zZyTwwwZFJhRe0oBElIia', 'duration_ms': 222383, 'time_signature': 4}]"
2,['golden era'],level of concern (lofi version),"[{'danceability': 0.793, 'energy': 0.369, 'key': 7, 'loudness': -13.709, 'mode': 1, 'speechiness': 0.0357, 'acousticness': 0.227, 'instrumentalness': 0.844, 'liveness': 0.124, 'valence': 0.4, 'tempo': 96.022, 'type': 'audio_features', 'id': '2mJqy8OwFfnciPhdPPBcE9', 'uri': 'spotify:track:2mJqy8OwFfnciPhdPPBcE9', 'track_href': 'https://api.spotify.com/v1/tracks/2mJqy8OwFfnciPhdPPBcE9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2mJqy8OwFfnciPhdPPBcE9', 'duration_ms': 169627, 'time_signature': 4}]"
3,['Calvin Sparks'],Level of Concern,"[{'danceability': 0.775, 'energy': 0.784, 'key': 4, 'loudness': -4.427, 'mode': 0, 'speechiness': 0.039, 'acousticness': 0.371, 'instrumentalness': 0.000278, 'liveness': 0.119, 'valence': 0.727, 'tempo': 121.999, 'type': 'audio_features', 'id': '60AMsd1uJ8Gyi8GNcTtD0K', 'uri': 'spotify:track:60AMsd1uJ8Gyi8GNcTtD0K', 'track_href': 'https://api.spotify.com/v1/tracks/60AMsd1uJ8Gyi8GNcTtD0K', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/60AMsd1uJ8Gyi8GNcTtD0K', 'duration_ms': 221426, 'time_signature': 4}]"
4,['Dance Time Trio'],Level of Concern,"[{'danceability': 0.775, 'energy': 0.784, 'key': 4, 'loudness': -4.427, 'mode': 0, 'speechiness': 0.039, 'acousticness': 0.371, 'instrumentalness': 0.000278, 'liveness': 0.119, 'valence': 0.727, 'tempo': 121.999, 'type': 'audio_features', 'id': '4CYNkY6A0bW6H1mr8MyzHv', 'uri': 'spotify:track:4CYNkY6A0bW6H1mr8MyzHv', 'track_href': 'https://api.spotify.com/v1/tracks/4CYNkY6A0bW6H1mr8MyzHv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4CYNkY6A0bW6H1mr8MyzHv', 'duration_ms': 221426, 'time_signature': 4}]"
5,['Falan Dave'],Level of Concern,"[{'danceability': 0.775, 'energy': 0.784, 'key': 4, 'loudness': -4.427, 'mode': 0, 'speechiness': 0.039, 'acousticness': 0.371, 'instrumentalness': 0.000278, 'liveness': 0.119, 'valence': 0.727, 'tempo': 121.999, 'type': 'audio_features', 'id': '6K4g125F1PrBeWCXIxdikz', 'uri': 'spotify:track:6K4g125F1PrBeWCXIxdikz', 'track_href': 'https://api.spotify.com/v1/tracks/6K4g125F1PrBeWCXIxdikz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6K4g125F1PrBeWCXIxdikz', 'duration_ms': 221426, 'time_signature': 4}]"
6,['Jared Halley'],Stressed Out / Chlorine / Heathens / Level of Concern / Ride,"[{'danceability': 0.595, 'energy': 0.594, 'key': 0, 'loudness': -5.36, 'mode': 1, 'speechiness': 0.271, 'acousticness': 0.541, 'instrumentalness': 0, 'liveness': 0.0695, 'valence': 0.366, 'tempo': 120.741, 'type': 'audio_features', 'id': '3P7b4XQkqhzroZdT37ScGE', 'uri': 'spotify:track:3P7b4XQkqhzroZdT37ScGE', 'track_href': 'https://api.spotify.com/v1/tracks/3P7b4XQkqhzroZdT37ScGE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3P7b4XQkqhzroZdT37ScGE', 'duration_ms': 272975, 'time_signature': 4}]"
7,['Twenty One Pilots'],Level of Concern,"[{'danceability': 0.754, 'energy': 0.581, 'key': 4, 'loudness': -7.338, 'mode': 0, 'speechiness': 0.0433, 'acousticness': 0.323, 'instrumentalness': 0.000168, 'liveness': 0.145, 'valence': 0.745, 'tempo': 122.012, 'type': 'audio_features', 'id': '1xpn6acMY1KgOwhL0Sz9su', 'uri': 'spotify:track:1xpn6acMY1KgOwhL0Sz9su', 'track_href': 'https://api.spotify.com/v1/tracks/1xpn6acMY1KgOwhL0Sz9su', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xpn6acMY1KgOwhL0Sz9su', 'duration_ms': 220051, 'time_signature': 4}]"
8,['Finally Sober'],I Told You My Level of Concern,"[{'danceability': 0.775, 'energy': 0.784, 'key': 4, 'loudness': -4.427, 'mode': 0, 'speechiness': 0.039, 'acousticness': 0.371, 'instrumentalness': 0.000278, 'liveness': 0.119, 'valence': 0.727, 'tempo': 121.999, 'type': 'audio_features', 'id': '5U3QPTfBJGAQWtGtqFvRD2', 'uri': 'spotify:track:5U3QPTfBJGAQWtGtqFvRD2', 'track_href': 'https://api.spotify.com/v1/tracks/5U3QPTfBJGAQWtGtqFvRD2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5U3QPTfBJGAQWtGtqFvRD2', 'duration_ms': 221426, 'time_signature': 4}]"
9,['Falan Dave'],Level of Concern,"[{'danceability': 0.775, 'energy': 0.784, 'key': 4, 'loudness': -4.427, 'mode': 0, 'speechiness': 0.039, 'acousticness': 0.371, 'instrumentalness': 0.000278, 'liveness': 0.119, 'valence': 0.727, 'tempo': 121.999, 'type': 'audio_features', 'id': '3MRbeFeXv70go6OdNsh9au', 'uri': 'spotify:track:3MRbeFeXv70go6OdNsh9au', 'track_href': 'https://api.spotify.com/v1/tracks/3MRbeFeXv70go6OdNsh9au', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3MRbeFeXv70go6OdNsh9au', 'duration_ms': 221426, 'time_signature': 4}]"
