,SONG,ARTIST,AUDIO FEATURE
0,She Wolf,['Shakira'],"[{'danceability': 0.865, 'energy': 0.69, 'key': 7, 'loudness': -7.448, 'mode': 1, 'speechiness': 0.0444, 'acousticness': 0.289, 'instrumentalness': 0.0138, 'liveness': 0.225, 'valence': 0.868, 'tempo': 121.983, 'type': 'audio_features', 'id': '4cS2HQ6jK80vqdY9ofpztx', 'uri': 'spotify:track:4cS2HQ6jK80vqdY9ofpztx', 'track_href': 'https://api.spotify.com/v1/tracks/4cS2HQ6jK80vqdY9ofpztx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4cS2HQ6jK80vqdY9ofpztx', 'duration_ms': 188867, 'time_signature': 4}]"
1,Loba,['Shakira'],"[{'danceability': 0.853, 'energy': 0.706, 'key': 7, 'loudness': -7.598, 'mode': 1, 'speechiness': 0.045, 'acousticness': 0.403, 'instrumentalness': 0.0467, 'liveness': 0.0751, 'valence': 0.778, 'tempo': 121.99, 'type': 'audio_features', 'id': '1fPCGREltHJuV3axEPydLp', 'uri': 'spotify:track:1fPCGREltHJuV3axEPydLp', 'track_href': 'https://api.spotify.com/v1/tracks/1fPCGREltHJuV3axEPydLp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1fPCGREltHJuV3axEPydLp', 'duration_ms': 189200, 'time_signature': 4}]"
2,Gypsy,['Shakira'],"[{'danceability': 0.763, 'energy': 0.758, 'key': 6, 'loudness': -5.106, 'mode': 1, 'speechiness': 0.0576, 'acousticness': 0.64, 'instrumentalness': 0, 'liveness': 0.0706, 'valence': 0.515, 'tempo': 92.727, 'type': 'audio_features', 'id': '3FESsHW8mAuiIsYpK6aJ6u', 'uri': 'spotify:track:3FESsHW8mAuiIsYpK6aJ6u', 'track_href': 'https://api.spotify.com/v1/tracks/3FESsHW8mAuiIsYpK6aJ6u', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3FESsHW8mAuiIsYpK6aJ6u', 'duration_ms': 198827, 'time_signature': 4}]"
3,Did It Again,['Shakira'],"[{'danceability': 0.845, 'energy': 0.73, 'key': 5, 'loudness': -5.147, 'mode': 0, 'speechiness': 0.112, 'acousticness': 0.439, 'instrumentalness': 0, 'liveness': 0.172, 'valence': 0.586, 'tempo': 137.97, 'type': 'audio_features', 'id': '3RaqIAipLoQLVVNm41IMnJ', 'uri': 'spotify:track:3RaqIAipLoQLVVNm41IMnJ', 'track_href': 'https://api.spotify.com/v1/tracks/3RaqIAipLoQLVVNm41IMnJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3RaqIAipLoQLVVNm41IMnJ', 'duration_ms': 192707, 'time_signature': 4}]"
4,She-Wolf - Remastered 2004 / Remixed,['Megadeth'],"[{'danceability': 0.39, 'energy': 0.916, 'key': 10, 'loudness': -4.748, 'mode': 1, 'speechiness': 0.0475, 'acousticness': 2.43e-05, 'instrumentalness': 0.000687, 'liveness': 0.143, 'valence': 0.572, 'tempo': 172.018, 'type': 'audio_features', 'id': '5MhNgheI9IjDxQS5XQ3Ojo', 'uri': 'spotify:track:5MhNgheI9IjDxQS5XQ3Ojo', 'track_href': 'https://api.spotify.com/v1/tracks/5MhNgheI9IjDxQS5XQ3Ojo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5MhNgheI9IjDxQS5XQ3Ojo', 'duration_ms': 217800, 'time_signature': 4}]"
5,Lo Hecho Está Hecho,['Shakira'],"[{'danceability': 0.872, 'energy': 0.725, 'key': 5, 'loudness': -5.108, 'mode': 0, 'speechiness': 0.0827, 'acousticness': 0.431, 'instrumentalness': 4.74e-06, 'liveness': 0.182, 'valence': 0.687, 'tempo': 137.937, 'type': 'audio_features', 'id': '2ZLkmFeraZyt2ccuwnupny', 'uri': 'spotify:track:2ZLkmFeraZyt2ccuwnupny', 'track_href': 'https://api.spotify.com/v1/tracks/2ZLkmFeraZyt2ccuwnupny', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ZLkmFeraZyt2ccuwnupny', 'duration_ms': 192693, 'time_signature': 4}]"
6,Give It up to Me (feat. Lil Wayne),"['Shakira', 'Lil Wayne']","[{'danceability': 0.841, 'energy': 0.729, 'key': 5, 'loudness': -6.311, 'mode': 0, 'speechiness': 0.0705, 'acousticness': 0.443, 'instrumentalness': 0, 'liveness': 0.122, 'valence': 0.688, 'tempo': 115.984, 'type': 'audio_features', 'id': '5lR4YDKdhJUkGUYMrMRx43', 'uri': 'spotify:track:5lR4YDKdhJUkGUYMrMRx43', 'track_href': 'https://api.spotify.com/v1/tracks/5lR4YDKdhJUkGUYMrMRx43', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5lR4YDKdhJUkGUYMrMRx43', 'duration_ms': 183573, 'time_signature': 4}]"
7,Did It Again (feat. Kid Cudi),"['Shakira', 'Kid Cudi']","[{'danceability': 0.869, 'energy': 0.709, 'key': 5, 'loudness': -5.069, 'mode': 0, 'speechiness': 0.0896, 'acousticness': 0.509, 'instrumentalness': 0, 'liveness': 0.0741, 'valence': 0.599, 'tempo': 137.955, 'type': 'audio_features', 'id': '6AoGe1Zp6WNpPTvNC6Ehca', 'uri': 'spotify:track:6AoGe1Zp6WNpPTvNC6Ehca', 'track_href': 'https://api.spotify.com/v1/tracks/6AoGe1Zp6WNpPTvNC6Ehca', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6AoGe1Zp6WNpPTvNC6Ehca', 'duration_ms': 227333, 'time_signature': 4}]"
8,Why Wait,['Shakira'],"[{'danceability': 0.887, 'energy': 0.533, 'key': 1, 'loudness': -5.536, 'mode': 0, 'speechiness': 0.0432, 'acousticness': 0.15, 'instrumentalness': 0.000584, 'liveness': 0.122, 'valence': 0.399, 'tempo': 129.94, 'type': 'audio_features', 'id': '2f3tjFRhnE2rJfnLwWfxCe', 'uri': 'spotify:track:2f3tjFRhnE2rJfnLwWfxCe', 'track_href': 'https://api.spotify.com/v1/tracks/2f3tjFRhnE2rJfnLwWfxCe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2f3tjFRhnE2rJfnLwWfxCe', 'duration_ms': 221240, 'time_signature': 4}]"
9,Spy (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']","[{'danceability': 0.858, 'energy': 0.765, 'key': 8, 'loudness': -3.969, 'mode': 1, 'speechiness': 0.125, 'acousticness': 0.328, 'instrumentalness': 1.66e-05, 'liveness': 0.0629, 'valence': 0.845, 'tempo': 113.974, 'type': 'audio_features', 'id': '5c8vdQdRggwDspd3MNgjZX', 'uri': 'spotify:track:5c8vdQdRggwDspd3MNgjZX', 'track_href': 'https://api.spotify.com/v1/tracks/5c8vdQdRggwDspd3MNgjZX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5c8vdQdRggwDspd3MNgjZX', 'duration_ms': 207133, 'time_signature': 4}]"
10,Now That I've Found You,"['Martin Garrix', 'John Martin', 'Michel Zitron']","[{'danceability': 0.495, 'energy': 0.831, 'key': 5, 'loudness': -5.812, 'mode': 0, 'speechiness': 0.0319, 'acousticness': 0.021, 'instrumentalness': 4.79e-05, 'liveness': 0.495, 'valence': 0.414, 'tempo': 128.064, 'type': 'audio_features', 'id': '24tVqMiAtv8jmpNPhBEsDY', 'uri': 'spotify:track:24tVqMiAtv8jmpNPhBEsDY', 'track_href': 'https://api.spotify.com/v1/tracks/24tVqMiAtv8jmpNPhBEsDY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/24tVqMiAtv8jmpNPhBEsDY', 'duration_ms': 192632, 'time_signature': 5}]"
11,Now That I've Found You,['Liam Gallagher'],"[{'danceability': 0.461, 'energy': 0.892, 'key': 0, 'loudness': -3.38, 'mode': 1, 'speechiness': 0.0397, 'acousticness': 0.000162, 'instrumentalness': 6.73e-05, 'liveness': 0.126, 'valence': 0.573, 'tempo': 129.999, 'type': 'audio_features', 'id': '4QSxcUAwEx5sFitOKZfQDN', 'uri': 'spotify:track:4QSxcUAwEx5sFitOKZfQDN', 'track_href': 'https://api.spotify.com/v1/tracks/4QSxcUAwEx5sFitOKZfQDN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4QSxcUAwEx5sFitOKZfQDN', 'duration_ms': 200911, 'time_signature': 4}]"
12,Now That I've Found You,"['Paul McDonald', 'Nikki Reed']","[{'danceability': 0.456, 'energy': 0.494, 'key': 1, 'loudness': -11.475, 'mode': 1, 'speechiness': 0.0475, 'acousticness': 0.0887, 'instrumentalness': 0, 'liveness': 0.238, 'valence': 0.375, 'tempo': 179.913, 'type': 'audio_features', 'id': '3Yp0qAhRrYAQsr8h1TUd2v', 'uri': 'spotify:track:3Yp0qAhRrYAQsr8h1TUd2v', 'track_href': 'https://api.spotify.com/v1/tracks/3Yp0qAhRrYAQsr8h1TUd2v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Yp0qAhRrYAQsr8h1TUd2v', 'duration_ms': 250698, 'time_signature': 4}]"
13,Now That I've Found You (feat. Déja),"['S3RL', 'Déja']","[{'danceability': 0.481, 'energy': 0.983, 'key': 6, 'loudness': -2.57, 'mode': 1, 'speechiness': 0.0817, 'acousticness': 0.00711, 'instrumentalness': 0.0312, 'liveness': 0.118, 'valence': 0.578, 'tempo': 175.077, 'type': 'audio_features', 'id': '3Ncra0XuKwCQJ0t2ye3S6R', 'uri': 'spotify:track:3Ncra0XuKwCQJ0t2ye3S6R', 'track_href': 'https://api.spotify.com/v1/tracks/3Ncra0XuKwCQJ0t2ye3S6R', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Ncra0XuKwCQJ0t2ye3S6R', 'duration_ms': 194362, 'time_signature': 4}]"
