,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,She Wolf,['Shakira'],0.865,0.69,7,-7.448,1,0.0444,0.289,0.0138,0.225,0.868,121.983,audio_features,4cS2HQ6jK80vqdY9ofpztx,spotify:track:4cS2HQ6jK80vqdY9ofpztx,https://api.spotify.com/v1/tracks/4cS2HQ6jK80vqdY9ofpztx,https://api.spotify.com/v1/audio-analysis/4cS2HQ6jK80vqdY9ofpztx,188867,4
1,Loba,['Shakira'],0.853,0.706,7,-7.598,1,0.045,0.403,0.0467,0.0751,0.778,121.99,audio_features,1fPCGREltHJuV3axEPydLp,spotify:track:1fPCGREltHJuV3axEPydLp,https://api.spotify.com/v1/tracks/1fPCGREltHJuV3axEPydLp,https://api.spotify.com/v1/audio-analysis/1fPCGREltHJuV3axEPydLp,189200,4
2,Gypsy,['Shakira'],0.763,0.758,6,-5.106,1,0.0576,0.64,0.0,0.0706,0.515,92.727,audio_features,3FESsHW8mAuiIsYpK6aJ6u,spotify:track:3FESsHW8mAuiIsYpK6aJ6u,https://api.spotify.com/v1/tracks/3FESsHW8mAuiIsYpK6aJ6u,https://api.spotify.com/v1/audio-analysis/3FESsHW8mAuiIsYpK6aJ6u,198827,4
3,Did It Again,['Shakira'],0.845,0.73,5,-5.147,0,0.112,0.439,0.0,0.172,0.586,137.97,audio_features,3RaqIAipLoQLVVNm41IMnJ,spotify:track:3RaqIAipLoQLVVNm41IMnJ,https://api.spotify.com/v1/tracks/3RaqIAipLoQLVVNm41IMnJ,https://api.spotify.com/v1/audio-analysis/3RaqIAipLoQLVVNm41IMnJ,192707,4
4,She-Wolf - Remastered 2004 / Remixed,['Megadeth'],0.39,0.916,10,-4.748,1,0.0475,2.43e-05,0.000687,0.143,0.572,172.018,audio_features,5MhNgheI9IjDxQS5XQ3Ojo,spotify:track:5MhNgheI9IjDxQS5XQ3Ojo,https://api.spotify.com/v1/tracks/5MhNgheI9IjDxQS5XQ3Ojo,https://api.spotify.com/v1/audio-analysis/5MhNgheI9IjDxQS5XQ3Ojo,217800,4
5,Lo Hecho Está Hecho,['Shakira'],0.872,0.725,5,-5.108,0,0.0827,0.431,4.74e-06,0.182,0.687,137.937,audio_features,2ZLkmFeraZyt2ccuwnupny,spotify:track:2ZLkmFeraZyt2ccuwnupny,https://api.spotify.com/v1/tracks/2ZLkmFeraZyt2ccuwnupny,https://api.spotify.com/v1/audio-analysis/2ZLkmFeraZyt2ccuwnupny,192693,4
6,Give It up to Me (feat. Lil Wayne),"['Shakira', 'Lil Wayne']",0.841,0.729,5,-6.311,0,0.0705,0.443,0.0,0.122,0.688,115.984,audio_features,5lR4YDKdhJUkGUYMrMRx43,spotify:track:5lR4YDKdhJUkGUYMrMRx43,https://api.spotify.com/v1/tracks/5lR4YDKdhJUkGUYMrMRx43,https://api.spotify.com/v1/audio-analysis/5lR4YDKdhJUkGUYMrMRx43,183573,4
7,Did It Again (feat. Kid Cudi),"['Shakira', 'Kid Cudi']",0.869,0.709,5,-5.069,0,0.0896,0.509,0.0,0.0741,0.599,137.955,audio_features,6AoGe1Zp6WNpPTvNC6Ehca,spotify:track:6AoGe1Zp6WNpPTvNC6Ehca,https://api.spotify.com/v1/tracks/6AoGe1Zp6WNpPTvNC6Ehca,https://api.spotify.com/v1/audio-analysis/6AoGe1Zp6WNpPTvNC6Ehca,227333,4
8,Why Wait,['Shakira'],0.887,0.533,1,-5.536,0,0.0432,0.15,0.000584,0.122,0.399,129.94,audio_features,2f3tjFRhnE2rJfnLwWfxCe,spotify:track:2f3tjFRhnE2rJfnLwWfxCe,https://api.spotify.com/v1/tracks/2f3tjFRhnE2rJfnLwWfxCe,https://api.spotify.com/v1/audio-analysis/2f3tjFRhnE2rJfnLwWfxCe,221240,4
9,Spy (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']",0.858,0.765,8,-3.969,1,0.125,0.328,1.66e-05,0.0629,0.845,113.974,audio_features,5c8vdQdRggwDspd3MNgjZX,spotify:track:5c8vdQdRggwDspd3MNgjZX,https://api.spotify.com/v1/tracks/5c8vdQdRggwDspd3MNgjZX,https://api.spotify.com/v1/audio-analysis/5c8vdQdRggwDspd3MNgjZX,207133,4
