,Song,Singer,Rank
0,Mood,24kGoldn Featuring iann dior,1
1,WAP,Cardi B Featuring Megan Thee Stallion,2
2,Laugh Now Cry Later,Drake Featuring Lil Durk,3
3,Blinding Lights,The Weeknd,4
4,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,5
5,I Hope,Gabby Barrett Featuring Charlie Puth,6
6,Dynamite,BTS,7
7,Rockstar,DaBaby Featuring Roddy Ricch,8
8,Holy,Justin Bieber Featuring Chance The Rapper,9
9,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,10
10,Watermelon Sugar,Harry Styles,11
11,Before You Go,Lewis Capaldi,12
12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,13
13,Lonely,Justin Bieber & benny blanco,14
14,Go Crazy,Chris Brown & Young Thug,15
15,Got What I Got,Jason Aldean,16
16,One Of Them Girls,Lee Brice,17
17,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",18
18,Circles,Post Malone,19
19,Be Like That,Kane Brown With Swae Lee & Khalid,20
20,Dreams,Fleetwood Mac,21
21,Come & Go,Juice WRLD x Marshmello,22
22,Said Sum,Moneybagg Yo,23
23,Kings & Queens,Ava Max,24
24,What You Know Bout Love,Pop Smoke,25
25,Bang!,AJR,26
26,ily,surf mesa Featuring Emilee,27
27,More Than My Hometown,Morgan Wallen,28
28,Some Girls,Jameson Rodgers,29
29,Wonder,Shawn Mendes,30
30,Adore You,Harry Styles,31
31,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,32
32,Roses,SAINt JHN,33
33,Break My Heart,Dua Lipa,34
34,Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj,35
35,Don't Start Now,Dua Lipa,36
36,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,37
37,Rags2Riches,Rod Wave Featuring ATR Son Son,38
38,Franchise,Travis Scott Featuring Young Thug & M.I.A.,39
39,Mood Swings,Pop Smoke Featuring Lil Tjay,40
40,Love You Like I Used To,Russell Dickerson,41
41,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,42
42,I Should Probably Go To Bed,Dan + Shay,43
43,Pretty Heart,Parker McCollum,44
44,Lovin' On You,Luke Combs,45
45,Popstar,DJ Khaled Featuring Drake,46
46,Levitating,Dua Lipa Featuring DaBaby,47
47,Midnight Sky,Miley Cyrus,48
48,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,49
49,Runnin,21 Savage & Metro Boomin,50
50,24,Money Man Featuring Lil Baby,51
51,You're Mines Still,Yung Bleu Featuring Drake,52
52,Tap In,Saweetie,53
53,My Ex's Best Friend,Machine Gun Kelly X blackbear,54
54,Wishing Well,Juice WRLD,55
55,Everywhere But On,Matt Stell,56
56,Better Together,Luke Combs,57
57,You Broke Me First.,Tate McRae,58
58,Hawai,Maluma,59
59,Diamonds,Sam Smith,60
60,7 Summers,Morgan Wallen,61
61,Ain't Always The Cowboy,Jon Pardi,62
62,Don't Stop,Megan Thee Stallion Featuring Young Thug,63
63,Heather,Conan Gray,64
64,Starting Over,Chris Stapleton,65
65,Hit Different,SZA Featuring Ty Dolla $ign,66
66,Martin & Gina,Polo G,67
67,"Big, Big Plans",Chris Lane,68
68,B.S.,Jhene Aiko Featuring H.E.R.,69
69,U 2 Luv,Ne-Yo & Jeremih,70
70,Hate The Way,G-Eazy Featuring blackbear,71
71,The Bigger Picture,Lil Baby,72
72,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",73
73,Good Time,Niko Moon,74
74,Do It,Chloe X Halle,75
75,Greece,DJ Khaled Featuring Drake,76
76,Kacey Talk,YoungBoy Never Broke Again,77
77,Blind,DaBaby Featuring Young Thug,78
78,Put Your Records On,Ritt Momney,79
79,OK Not To Be OK,Marshmello & Demi Lovato,80
80,Canceled,Larray,81
81,Glock In My Lap,21 Savage & Metro Boomin,82
82,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",83
83,Ice Cream,BLACKPINK X Selena Gomez,84
84,Happy Does,Kenny Chesney,85
85,Smile,Juice WRLD & The Weeknd,86
86,Breaking Me,Topic & A7S,87
87,Cardigan,Taylor Swift,88
88,Girls In The Hood,Megan Thee Stallion,89
89,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,90
90,I Called Mama,Tim McGraw,91
91,Bloody Valentine,Machine Gun Kelly,92
92,Throat Baby (Go Baby),BRS Kash,93
93,Hole In The Bottle,Kelsea Ballerini,94
94,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,95
95,Caramelo,Ozuna x Karol G x Myke Towers,96
96,Pardon,T.I. Featuring Lil Baby,97
97,One Too Many,Keith Urban Duet With P!nk,98
98,Dollaz On My Head,Gunna Featuring Young Thug,99
99,Champagne Night,Lady A,100
